Model,Accuracy,Precision,Sensitivity,Specificity,TPR,FNR,FPR,TNR,F1 score,"""Pearsonr correlation"":correlation,
            ""P vale"":p_value,Gain"
SMA GBDT,0.7407407407407407,0.7213114754098361,0.8,0.6792452830188679,0.8,0.2,0.32075471698113206,0.6792452830188679,0.7586206896551724,0.5204116638078902
FGOA GBDT,0.7129629629629629,0.7,0.7636363636363637,0.660377358490566,0.7636363636363637,0.23636363636363636,0.33962264150943394,0.660377358490566,0.7304347826086957,0.481646655231561
original XGB,0.6896551724137931,0.75,0.6,0.7857142857142857,0.6,0.4,0.21428571428571427,0.7857142857142857,0.6666666666666666,0.5392857142857144
GA XGB,0.7870370370370371,0.7666666666666667,0.8363636363636363,0.7358490566037735,0.8363636363636363,0.16363636363636364,0.2641509433962264,0.7358490566037735,0.8,0.7557461406518011
DE XGB,0.8055555555555556,0.7833333333333333,0.8545454545454545,0.7547169811320755,0.8545454545454545,0.14545454545454545,0.24528301886792453,0.7547169811320755,0.8173913043478261,0.7804459691252146
PSO XGB,0.7870370370370371,0.7666666666666667,0.8363636363636363,0.7358490566037735,0.8363636363636363,0.16363636363636364,0.2641509433962264,0.7358490566037735,0.8,0.7557461406518011
WOA XGB,0.7962962962962963,0.7796610169491526,0.8363636363636363,0.7547169811320755,0.8363636363636363,0.16363636363636364,0.24528301886792453,0.7547169811320755,0.8070175438596491,0.771869639794168
HHO XGB,0.7777777777777778,0.7719298245614035,0.8,0.7547169811320755,0.8,0.2,0.24528301886792453,0.7547169811320755,0.7857142857142857,0.744082332761578
SMA XGB,0.7962962962962963,0.7796610169491526,0.8363636363636363,0.7547169811320755,0.8363636363636363,0.16363636363636364,0.24528301886792453,0.7547169811320755,0.8070175438596491,0.7704974271012008
FGOA XGB,0.75,0.7592592592592593,0.7454545454545455,0.7547169811320755,0.7454545454545455,0.2545454545454545,0.24528301886792453,0.7547169811320755,0.7522935779816514,0.6857632933104632
original LGBM,0.7068965517241379,0.7241379310344828,0.7,0.7142857142857143,0.7,0.3,0.2857142857142857,0.7142857142857143,0.711864406779661,0.5392857142857144
GA LGBM,0.8148148148148148,0.8070175438596491,0.8363636363636363,0.7924528301886793,0.8363636363636363,0.16363636363636364,0.20754716981132076,0.7924528301886793,0.8214285714285714,0.7646655231560893
